HiddenLayerLength,TrainingError,ValidationError
10,7.356485005575792,7.273475988362612
11,8.418346487615889,8.91441453850566
12,8.91079405693561,8.626834894447082
13,8.61406181995648,8.45894143155542
14,9.027355360284485,8.940872368669496
15,8.312390016686054,8.032444144319465
16,9.219522684158989,9.172565727997835
17,8.47731260507224,8.072104448776946
18,9.886623096755894,10.11983673102735
19,8.470498472780228,8.295171678186527
20,10.542928695098704,10.917509715684407
21,9.622306035749759,9.62421533650383
22,10.165360693057494,10.54119766585045
23,10.892683821719197,11.198771277796668
24,10.633712844229972,10.949216717518304
25,11.011744186366943,11.120788547930486
26,10.607608468286672,10.701017562344978
27,10.8999483991075,10.785400249730033
28,10.833619852159998,10.78512471470888
29,11.119298916239822,10.898954684974088
30,11.40264429517524,11.356795828870665
31,11.700613231515069,11.847466988414471
32,11.851783529660981,11.887051326072962
33,12.00152270519462,11.876865406391396
34,11.62807323099167,11.641090528105593
35,11.980911039960414,11.83875798978306
36,12.244144429063475,12.087354040359525
37,11.427183086071523,11.605026836304809
38,11.039722971459426,11.035915816314992
39,12.131067119687778,11.78681527767588
40,12.738808228738682,12.533613417215502
41,11.773565382708036,11.85738118010895
42,11.511379359308641,11.417202739281047
43,11.352744980346847,11.34827915892895
44,12.349213330505538,12.271252643576485
45,11.87151844800403,12.016004382171158
46,11.44373875526519,11.52502954873825
47,12.325149475176122,12.599809821684394
48,12.570827268315007,12.91023442005778
49,12.294529523631832,12.26132285390954
50,13.7149083292138,13.189040685270147
51,12.940604043599448,13.080093409469333
52,11.921540894359905,11.78775416958196
53,13.307918063753442,12.91203699206637
54,12.938145248109205,13.14574342108608
55,13.179476674824294,13.394811692531302
56,12.21430912898687,12.145142890579523
57,12.35576138749417,12.464725557590265
58,12.695612637458337,12.64830713610636
59,12.455973715243722,12.735910213546235
60,12.45783677930838,12.632339145156285
61,12.535703446563044,12.806150335375234
62,12.670186944324309,12.486535258469633
63,11.668315050992677,11.757178900968054
64,12.721723379738267,12.955863172046026
65,12.99823742012508,13.06903614922107
66,13.01047209203277,12.903453872689642
67,12.832501599892423,13.026292534975676
68,13.264229862639203,13.359805544187003