ProportionOfData,TrainingError,ValidationError
ProportionOfData,2.177327757,3.953179817
0.04,1.709332361,3.239968174
0.06,1.825312835,2.718352087
0.08,2.147297301,2.633530087
0.1,2.006235553,2.260224243
0.12,2.018557397,2.698914922
0.14,2.009475263,2.110301437
0.16,1.899754578,2.60058489
0.18,1.958608186,2.283353733
0.2,1.934466883,2.163768143
0.22,1.916449983,2.354409404
0.24,2.102809521,2.770666708
0.26,1.838772881,2.268199432
0.28,2.047383055,2.444082109
0.3,1.892853747,2.241699407
0.32,2.002130118,2.342506641
0.34,2.034554629,2.180675791
0.36,1.919952991,2.199019328
0.38,1.833306851,2.11439626
0.4,1.93455868,2.097879127
0.42,1.960766054,2.263792704
0.44,1.885578897,2.230699526
0.46,1.863547288,2.13939391
0.48,1.855490596,2.029680513
0.5,1.825309071,2.080072635
0.52,1.832032353,1.999989865
0.54,1.847403658,1.989630529
0.56,1.846953527,2.087175865
0.58,1.93086545,2.087790648
0.6,1.933413093,2.189798865
0.62,1.918312852,2.077461719
0.64,1.959331691,2.129696811
0.66,1.853293589,1.979291137
0.68,1.836477966,1.928127799
0.7,1.914364368,2.162412437
0.72,1.857052387,2.050625861
0.74,1.876703248,2.033142018
0.76,1.896304155,2.052825924
0.78,1.957668832,2.06973082
0.8,1.895271811,2.06975324
0.82,1.925465585,1.9702772
0.84,1.864740826,2.007573664
0.86,1.793428582,1.999692393
0.88,1.849146141,2.039669925
0.9,1.914603527,2.103992604
0.92,2.048415954,2.166427762
0.94,1.8576109,2.030511919
0.96,1.87701419,1.949816093
0.98,1.91933415,1.938465219
1,1.948319566,2.165915575